"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","548","Login with correct email and password","LMS service","Mon Aug 04 14:51:11 GMT 2025","passed","Mon Aug 04 14:51:11 GMT 2025","Login","Authentication","",""
"
        Тест обновления данных задания по его ID.
        Выполняет PATCH-запрос к /api/v1/exercises/{exercise_id}.
        Проверяет статус-код, тело ответа и JSON-схему.
        :param exercises_client: Клиент для работы с заданиями.
        :param function_exercise: Фикстура, содержащая данные созданного задания.
        ","0","Update exercise","LMS service","Mon Aug 04 14:51:12 GMT 2025","broken","Mon Aug 04 14:51:12 GMT 2025","Update entity","Exercises","",""
"
        Тест создания курса через API.

        :param courses_client: Клиент для работы с курсами
        :param function_file: Фикстура файла для preview
        :param function_user: Фикстура пользователя как создателя курса
        ","0","Create course","LMS service","Mon Aug 04 14:51:11 GMT 2025","broken","Mon Aug 04 14:51:11 GMT 2025","Create entity","Courses","",""
"","0","Get file","LMS service","Mon Aug 04 14:51:16 GMT 2025","broken","Mon Aug 04 14:51:16 GMT 2025","Get entity","Files","",""
"
        Тест удаления задания по его ID и проверка, что оно действительно удалено.
        Выполняет DELETE-запрос к /api/v1/exercises/{exercise_id}.
        Затем выполняет GET-запрос к тому же ID и проверяет ошибку 404.
        :param exercises_client: Клиент для работы с заданиями.
        :param function_exercise: Фикстура, содержащая данные созданного задания.
        ","0","Delete exercise","LMS service","Mon Aug 04 14:51:14 GMT 2025","broken","Mon Aug 04 14:51:14 GMT 2025","Delete entity","Exercises","",""
"","0","Delete file","LMS service","Mon Aug 04 14:51:17 GMT 2025","broken","Mon Aug 04 14:51:17 GMT 2025","Delete entity","Files","",""
"","500","Create user","LMS service","Mon Aug 04 14:51:18 GMT 2025","passed","Mon Aug 04 14:51:18 GMT 2025","Create entity","Users","",""
"","553","Create user","LMS service","Mon Aug 04 14:51:19 GMT 2025","passed","Mon Aug 04 14:51:20 GMT 2025","Create entity","Users","",""
"","1","Create file","LMS service","Mon Aug 04 14:51:16 GMT 2025","broken","Mon Aug 04 14:51:16 GMT 2025","Create entity","Files","",""
"
        Тест получения данных задания по его ID.

        Отправляет GET-запрос к /api/v1/exercises/{exercise_id},
        используя ID задания, созданного фикстурой function_exercise.
        Проверяет статус-код, тело ответа и JSON-схему.
        ","0","Get exercise","LMS service","Mon Aug 04 14:51:14 GMT 2025","broken","Mon Aug 04 14:51:14 GMT 2025","Get entity","Exercises","",""
"","0","Get courses","LMS service","Mon Aug 04 14:51:10 GMT 2025","broken","Mon Aug 04 14:51:10 GMT 2025","Get entities","Courses","",""
"","0","Create file with empty directory","LMS service","Mon Aug 04 14:51:18 GMT 2025","broken","Mon Aug 04 14:51:18 GMT 2025","Validate entity","Files","",""
"
        Негативный тест: Получение файла с некорректным идентификатором.

        Отправляет GET-запрос к /files/{file_id} с недопустимым UUID.
        Ожидается статус-код 422 (Unprocessable Entity) и
        соответствующая ошибка валидации типа 'uuid_parsing'.
        ","257","Get file with incorrect file id","LMS service","Mon Aug 04 14:51:19 GMT 2025","passed","Mon Aug 04 14:51:19 GMT 2025","Validate entity","Files","",""
"","0","Update course","LMS service","Mon Aug 04 14:51:11 GMT 2025","broken","Mon Aug 04 14:51:11 GMT 2025","Update entity","Courses","",""
"
        Тест создания задания через API.

        :param exercises_client: Клиент для работы с заданиями

        ","267","Create exercise","LMS service","Mon Aug 04 14:51:13 GMT 2025","passed","Mon Aug 04 14:51:14 GMT 2025","Create entity","Exercises","",""
"
        Тест получения списка заданий по course_id.
        Выполняет GET-запрос к /api/v1/exercises с параметром courseId.
        Проверяет статус-код, тело ответа и JSON-схему.
        :param exercises_client: Клиент для работы с заданиями.
        :param function_exercise: Фикстура, создающая одно тестовое задание.
                               Используется для получения course_id.
        ","0","Get exercises","LMS service","Mon Aug 04 14:51:14 GMT 2025","broken","Mon Aug 04 14:51:14 GMT 2025","Get entities","Exercises","",""
"","524","Create user","LMS service","Mon Aug 04 14:51:19 GMT 2025","passed","Mon Aug 04 14:51:19 GMT 2025","Create entity","Users","",""
"","12","Get user me","LMS service","Mon Aug 04 14:51:20 GMT 2025","passed","Mon Aug 04 14:51:20 GMT 2025","Get entity","Users","",""
"","1","Create file with empty filename","LMS service","Mon Aug 04 14:51:17 GMT 2025","broken","Mon Aug 04 14:51:17 GMT 2025","Validate entity","Files","",""
