"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Get user me","LMS service","Mon Aug 04 15:01:04 GMT 2025","passed","Mon Aug 04 15:01:04 GMT 2025","Get entity","Users","",""
"","263","Create file with empty filename","LMS service","Mon Aug 04 15:01:01 GMT 2025","passed","Mon Aug 04 15:01:01 GMT 2025","Validate entity","Files","",""
"
        Негативный тест: Получение файла с некорректным идентификатором.

        Отправляет GET-запрос к /files/{file_id} с недопустимым UUID.
        Ожидается статус-код 422 (Unprocessable Entity) и
        соответствующая ошибка валидации типа 'uuid_parsing'.
        ","261","Get file with incorrect file id","LMS service","Mon Aug 04 15:01:03 GMT 2025","passed","Mon Aug 04 15:01:03 GMT 2025","Validate entity","Files","",""
"
        Тест создания курса через API.

        :param courses_client: Клиент для работы с курсами
        :param function_file: Фикстура файла для preview
        :param function_user: Фикстура пользователя как создателя курса
        ","29","Create course","LMS service","Mon Aug 04 15:00:56 GMT 2025","passed","Mon Aug 04 15:00:56 GMT 2025","Create entity","Courses","",""
"","264","Create file","LMS service","Mon Aug 04 15:01:00 GMT 2025","passed","Mon Aug 04 15:01:00 GMT 2025","Create entity","Files","",""
"","15","Get file","LMS service","Mon Aug 04 15:01:01 GMT 2025","passed","Mon Aug 04 15:01:01 GMT 2025","Get entity","Files","",""
"","554","Create user","LMS service","Mon Aug 04 15:01:03 GMT 2025","passed","Mon Aug 04 15:01:03 GMT 2025","Create entity","Users","",""
"
        Тест обновления данных задания по его ID.
        Выполняет PATCH-запрос к /api/v1/exercises/{exercise_id}.
        Проверяет статус-код, тело ответа и JSON-схему.
        :param exercises_client: Клиент для работы с заданиями.
        :param function_exercise: Фикстура, содержащая данные созданного задания.
        ","11","Update exercise","LMS service","Mon Aug 04 15:00:58 GMT 2025","failed","Mon Aug 04 15:00:58 GMT 2025","Update entity","Exercises","",""
"
        Тест получения данных задания по его ID.

        Отправляет GET-запрос к /api/v1/exercises/{exercise_id},
        используя ID задания, созданного фикстурой function_exercise.
        Проверяет статус-код, тело ответа и JSON-схему.
        ","0","Get exercise","LMS service","Mon Aug 04 15:00:58 GMT 2025","broken","Mon Aug 04 15:00:58 GMT 2025","Get entity","Exercises","",""
"
        Тест получения списка заданий по course_id.
        Выполняет GET-запрос к /api/v1/exercises с параметром courseId.
        Проверяет статус-код, тело ответа и JSON-схему.
        :param exercises_client: Клиент для работы с заданиями.
        :param function_exercise: Фикстура, создающая одно тестовое задание.
                               Используется для получения course_id.
        ","9","Get exercises","LMS service","Mon Aug 04 15:00:59 GMT 2025","broken","Mon Aug 04 15:00:59 GMT 2025","Get entities","Exercises","",""
"
        Тест создания задания через API.

        :param exercises_client: Клиент для работы с заданиями

        ","270","Create exercise","LMS service","Mon Aug 04 15:00:57 GMT 2025","passed","Mon Aug 04 15:00:57 GMT 2025","Create entity","Exercises","",""
"","555","Login with correct email and password","LMS service","Mon Aug 04 15:00:54 GMT 2025","passed","Mon Aug 04 15:00:55 GMT 2025","Login","Authentication","",""
"","534","Create user","LMS service","Mon Aug 04 15:01:02 GMT 2025","passed","Mon Aug 04 15:01:03 GMT 2025","Create entity","Users","",""
"","19","Delete file","LMS service","Mon Aug 04 15:01:02 GMT 2025","passed","Mon Aug 04 15:01:02 GMT 2025","Delete entity","Files","",""
"","288","Create user","LMS service","Mon Aug 04 15:01:03 GMT 2025","passed","Mon Aug 04 15:01:03 GMT 2025","Create entity","Users","",""
"","16","Get courses","LMS service","Mon Aug 04 15:00:55 GMT 2025","broken","Mon Aug 04 15:00:55 GMT 2025","Get entities","Courses","",""
"","262","Create file with empty directory","LMS service","Mon Aug 04 15:01:01 GMT 2025","passed","Mon Aug 04 15:01:02 GMT 2025","Validate entity","Files","",""
"
        Тест удаления задания по его ID и проверка, что оно действительно удалено.
        Выполняет DELETE-запрос к /api/v1/exercises/{exercise_id}.
        Затем выполняет GET-запрос к тому же ID и проверяет ошибку 404.
        :param exercises_client: Клиент для работы с заданиями.
        :param function_exercise: Фикстура, содержащая данные созданного задания.
        ","279","Delete exercise","LMS service","Mon Aug 04 15:00:59 GMT 2025","broken","Mon Aug 04 15:00:59 GMT 2025","Delete entity","Exercises","",""
"","32","Update course","LMS service","Mon Aug 04 15:00:56 GMT 2025","passed","Mon Aug 04 15:00:56 GMT 2025","Update entity","Courses","",""
